STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150313,0,-9999,-9999,-25
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150314,0,-9999,-9999,-20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150315,0,-9999,-9999,18
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150316,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150317,0,-9999,-9999,45
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150318,0,-9999,101,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150319,0,-9999,125,-17
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150320,0,-9999,-9999,37
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150322,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150323,0,-9999,-9999,25
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150324,5,-9999,102,26
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150325,0,-9999,66,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150326,-9999,-9999,73,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150327,-9999,-9999,84,16
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150328,-9999,-9999,92,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150329,30,-9999,102,50
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150330,48,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150331,3,-9999,61,20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150401,13,-9999,-9999,30
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150402,0,-9999,-9999,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150403,0,-9999,-9999,-12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150404,0,-9999,95,-24
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150405,0,-9999,-9999,-20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150406,0,-9999,120,-28
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150407,0,-9999,120,55
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150408,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150409,0,-9999,122,32
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150410,0,-9999,121,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150411,0,-9999,203,25
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150412,13,-9999,108,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150413,15,-9999,-9999,46
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150414,5,-9999,106,45
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150415,33,-9999,94,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150416,0,-9999,105,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150417,0,-9999,125,28
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150418,0,-9999,140,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150419,3,-9999,146,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150420,0,-9999,-9999,28
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150421,0,-9999,162,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150422,0,-9999,-9999,38
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150423,0,-9999,133,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150424,0,-9999,117,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150425,-9999,-9999,151,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150426,5,-9999,121,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150427,0,-9999,109,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150428,0,-9999,116,24
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150429,10,-9999,130,30
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150430,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150501,0,-9999,112,25
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150502,0,-9999,134,39
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150503,0,-9999,126,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150504,-9999,-9999,164,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150505,-9999,-9999,173,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150506,0,-9999,170,88
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150507,-9999,-9999,115,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150508,-9999,-9999,114,-9999
